模型,准确率 (%),精确率 (%),召回率 (%),F1分数 (%)
pure_cnn,78.1725888324873,83.38330941620795,78.1725888324873,73.76752396502918
pure_vit,44.41624365482234,47.162025518528694,44.41624365482234,38.733732361272764
hybrid,76.39593908629442,81.91294304110498,76.39593908629442,71.47340933282483
parallel,80.71065989847716,84.21929923235739,80.71065989847716,77.84695931321501
embedded,78.42639593908629,83.48865108344111,78.42639593908629,74.51115839940333
